epoch	precision	recall	f1
1	0.1444	0.1116	0.1259
2	0.4033	0.1508	0.2195
3	0.6648	0.2417	0.3545
4	0.6795	0.5124	0.5842
5	0.6738	0.5207	0.5874
6	0.6131	0.5041	0.5533
7	0.6423	0.5455	0.5899
8	0.6364	0.4917	0.5548
9	0.6621	0.4979	0.5684
10	0.6723	0.4959	0.5707
11	0.6742	0.4959	0.5714
12	0.6930	0.5083	0.5864
13	0.6206	0.5475	0.5818
14	0.6800	0.5269	0.5937
15	0.6494	0.5165	0.5754
16	0.6817	0.5000	0.5769
17	0.6710	0.5310	0.5928
18	0.6685	0.5041	0.5748
19	0.6865	0.5475	0.6092
20	0.7035	0.5393	0.6105
21	0.6880	0.5331	0.6007
22	0.6802	0.5537	0.6105
23	0.6854	0.5537	0.6126
24	0.6899	0.5517	0.6131
