	precision	recall	f1	accuracy	support
POSITIVE	0.4947	0.7581	0.5987	0.4273	110.0
NEUTRAL	0.6667	0.4	0.5	0.3333	6.0
NEGATIVE	0.265	0.62	0.3713	0.2279	136.0
Micro-AVG	0.3721	0.6838	0.4819	0.3175	252.0
Macro-AVG	0.4755	0.5927	0.49		252
