	precision	recall	f1	accuracy	support
POSITIVE	0.8455	0.735	0.7864	0.648	321.0
NEUTRAL	0.5	0.4211	0.4571	0.2963	27.0
NEGATIVE	0.8224	0.6929	0.7521	0.6027	146.0
Micro-AVG	0.8238	0.7086	0.7619	0.6154	494.0
Macro-AVG	0.7226	0.6163	0.6652		494
