	precision	recall	f1	accuracy	support
POSITIVE	0.8253	0.75	0.7858	0.6472	343.0
NEUTRAL	1.0	0.4091	0.5806	0.4091	22.0
NEGATIVE	0.8166	0.6635	0.7321	0.5774	239.0
Micro-AVG	0.8255	0.7015	0.7585	0.6109	604.0
Macro-AVG	0.8806	0.6075	0.6995		604
