	precision	recall	f1	accuracy	support
POSITIVE	0.6625	0.6463	0.6543	0.4862	109.0
NEUTRAL	0.4286	0.3333	0.375	0.2308	13.0
NEGATIVE	0.5526	0.5385	0.5455	0.375	56.0
Micro-AVG	0.768	0.7385	0.7529	0.6038	159.0
Macro-AVG	0.5479	0.506	0.5249		159
