	precision	recall	f1	accuracy	support
POSITIVE	0.8077	0.6131	0.6971	0.535	314.0
NEUTRAL	0.5333	0.4444	0.4848	0.32	25.0
NEGATIVE	0.6188	0.5685	0.5926	0.4211	266.0
Micro-AVG	0.8762	0.7239	0.7928	0.6568	539.0
Macro-AVG	0.6533	0.542	0.5915		539
