	precision	recall	f1	accuracy	support
AMBIENCE	0.8	0.6667	0.7273	0.5714	14.0
FOOD	0.9143	0.7273	0.8101	0.6809	47.0
GENERAL-IMPRESSION	0.8182	0.8571	0.8372	0.72	25.0
PRICE	0.8	0.5	0.6154	0.4444	9.0
SERVICE	0.963	0.8125	0.8814	0.7879	33.0
Micro-AVG	0.8889	0.7521	0.8148	0.6875	128.0
Macro-AVG	2.5773	2.1382	2.3228		128
