	precision	recall	f1	accuracy	support
AMBIENCE	0.9091	0.8333	0.8696	0.7692	13.0
FOOD	0.9474	0.8182	0.8781	0.7826	46.0
GENERAL-IMPRESSION	0.7917	0.9048	0.8445	0.7308	26.0
PRICE	0.8571	0.75	0.8	0.6667	9.0
SERVICE	0.9667	0.9062	0.9355	0.8788	33.0
Micro-AVG	0.9091	0.8547	0.8811	0.7874	127.0
Macro-AVG	0.8944	0.8425	0.8655		127
