epoch	precision	recall	f1
1	0.4151	0.2256	0.2924
2	0.6562	0.5385	0.5915
3	0.6547	0.5154	0.5768
4	0.6952	0.7077	0.7014
5	0.6634	0.5154	0.5801
6	0.6987	0.6718	0.6850
7	0.7306	0.6744	0.7013
8	0.7599	0.6410	0.6954
9	0.7224	0.6538	0.6864
10	0.7350	0.6615	0.6964
11	0.7601	0.6744	0.7147
12	0.7151	0.6821	0.6982
13	0.7552	0.6564	0.7023
14	0.7567	0.7256	0.7408
15	0.7337	0.6923	0.7124
16	0.7606	0.6436	0.6972
17	0.7472	0.6897	0.7173
18	0.7493	0.6821	0.7141
19	0.7566	0.6615	0.7059
20	0.7243	0.6872	0.7053
21	0.7179	0.6590	0.6872
22	0.7268	0.7026	0.7145
23	0.7553	0.6410	0.6935
24	0.7452	0.6897	0.7164
25	0.7368	0.6821	0.7084
26	0.7522	0.6462	0.6952
27	0.7589	0.6538	0.7025
