	precision	recall	f1	accuracy	support
POSITIVE	0.7839	0.7562	0.7698	0.6257	342.0
NEUTRAL	0.5556	0.2941	0.3846	0.2381	21.0
NEGATIVE	0.7143	0.7364	0.7252	0.5689	167.0
Micro-AVG	0.8265	0.7995	0.8128	0.6846	501.0
Macro-AVG	0.6846	0.5956	0.6265		501
