epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.5641	0.0764	0.1346
3	0.5253	0.3958	0.4515
4	0.5796	0.4931	0.5328
5	0.6850	0.4757	0.5615
6	0.6357	0.5938	0.6140
7	0.6875	0.6493	0.6679
8	0.6604	0.6146	0.6367
9	0.7068	0.6528	0.6787
10	0.7097	0.5347	0.6099
11	0.6725	0.6701	0.6713
12	0.6931	0.6979	0.6955
13	0.6960	0.6597	0.6774
14	0.6404	0.6493	0.6448
15	0.7192	0.6493	0.6825
16	0.7079	0.6562	0.6811
17	0.6929	0.6424	0.6667
18	0.7565	0.6042	0.6718
19	0.6855	0.6736	0.6795
20	0.7132	0.6736	0.6929
21	0.6937	0.6528	0.6726
22	0.6643	0.6597	0.6620
23	0.7471	0.6667	0.7046
24	0.7371	0.6424	0.6865
25	0.7106	0.6736	0.6916
26	0.7262	0.6632	0.6933
27	0.7371	0.6424	0.6865
28	0.7216	0.6389	0.6777
