	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8082	0.8939	0.8489	0.7375	80.0
DRINKS#PRICES	0.75	0.75	0.75	0.6	5.0
DRINKS#QUALITY	1.0	0.7273	0.8421	0.7273	22.0
DRINKS#STYLE_OPTIONS	0.9231	1.0	0.96	0.9231	13.0
FOOD#PRICES	0.7778	0.6087	0.6829	0.5185	27.0
FOOD#QUALITY	0.9239	0.8147	0.8659	0.7635	334.0
FOOD#STYLE_OPTIONS	0.6731	0.6364	0.6542	0.4861	72.0
LOCATION#GENERAL	0.6923	0.6923	0.6923	0.5294	17.0
RESTAURANT#GENERAL	0.8514	0.8873	0.869	0.7683	164.0
RESTAURANT#MISCELLANEOUS	0.5217	0.3636	0.4286	0.2727	44.0
RESTAURANT#PRICES	0.7273	0.7619	0.7442	0.5926	27.0
SERVICE#GENERAL	0.8385	0.871	0.8544	0.7459	181.0
Micro-AVG	0.8449	0.8056	0.8248	0.7018	986.0
Macro-AVG	0.7906	0.7506	0.766		986
