	precision	recall	f1	accuracy	support
AMBIENCE	0.5806	0.6667	0.6207	0.45	40.0
FOOD	0.7474	0.7802	0.7634	0.6174	115.0
GENERAL-IMPRESSION	0.7857	0.8049	0.7952	0.66	50.0
PRICE	0.6667	0.6154	0.64	0.4706	17.0
SERVICE	0.8571	0.8136	0.8348	0.7164	67.0
Micro-AVG	0.7542	0.7706	0.7623	0.6159	289.0
Macro-AVG	0.7275	0.7362	0.7308		289
