	precision	recall	f1	accuracy	support
AMBIENCE	0.7333	0.8148	0.7719	0.6286	35.0
FOOD	0.8462	0.8462	0.8462	0.7333	105.0
GENERAL-IMPRESSION	0.8571	0.7317	0.7895	0.6522	46.0
PRICE	0.8182	0.6923	0.75	0.6	15.0
SERVICE	0.9245	0.8305	0.875	0.7778	63.0
Micro-AVG	0.85	0.8095	0.8293	0.7083	264.0
Macro-AVG	0.8359	0.7831	0.8065		264
