epoch	precision	recall	f1
1	0.5000	0.1253	0.2004
2	0.5977	0.5138	0.5526
3	0.7835	0.4536	0.5746
4	0.7310	0.6266	0.6748
5	0.7018	0.6842	0.6929
6	0.7263	0.6516	0.6869
7	0.7395	0.6617	0.6984
8	0.6979	0.6717	0.6845
9	0.7746	0.6717	0.7195
10	0.7135	0.6742	0.6933
11	0.7143	0.6642	0.6883
12	0.7047	0.7118	0.7082
13	0.7712	0.6165	0.6852
14	0.7718	0.6867	0.7268
15	0.7692	0.6767	0.7200
16	0.7527	0.6867	0.7182
17	0.7500	0.6917	0.7197
18	0.7394	0.6967	0.7174
19	0.7382	0.6642	0.6992
20	0.7280	0.6642	0.6946
21	0.7549	0.6792	0.7150
22	0.7486	0.6942	0.7204
23	0.7458	0.6692	0.7054
24	0.7459	0.6842	0.7137
25	0.7480	0.6917	0.7188
26	0.7480	0.7068	0.7268
27	0.7560	0.7143	0.7345
28	0.7725	0.6892	0.7285
29	0.7718	0.6867	0.7268
30	0.7759	0.6942	0.7328
