epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.6386	0.2684	0.3779
3	0.5941	0.6076	0.6008
4	0.6586	0.4835	0.5577
5	0.6658	0.6203	0.6422
6	0.6199	0.6481	0.6337
7	0.6499	0.6203	0.6347
8	0.6753	0.5949	0.6326
9	0.6516	0.6582	0.6549
10	0.6559	0.6177	0.6362
11	0.6781	0.6506	0.6641
12	0.7008	0.6582	0.6789
13	0.7256	0.5823	0.6461
14	0.6676	0.6000	0.6320
15	0.6989	0.6405	0.6684
16	0.7108	0.6658	0.6876
17	0.6961	0.6380	0.6658
18	0.6815	0.6608	0.6710
19	0.7155	0.6177	0.6630
20	0.7198	0.6633	0.6904
21	0.7230	0.6608	0.6905
22	0.7167	0.6532	0.6834
