	precision	recall	f1	accuracy	support
POSITIVE	0.9061	0.75	0.8207	0.6959	319.0
NEUTRAL	0.7647	0.5909	0.6667	0.5	26.0
NEGATIVE	0.8736	0.7644	0.8154	0.6883	231.0
Micro-AVG	0.8874	0.749	0.8124	0.684	576.0
Macro-AVG	0.8481	0.7018	0.7676		576
