epoch	precision	recall	f1
1	0.4366	0.4412	0.4389
2	0.7414	0.4517	0.5614
3	0.6864	0.5609	0.6173
4	0.7486	0.5504	0.6344
5	0.7098	0.6681	0.6883
6	0.7420	0.5861	0.6549
7	0.7440	0.6471	0.6921
8	0.6722	0.6807	0.6764
9	0.7075	0.6555	0.6805
10	0.6811	0.6954	0.6881
11	0.7091	0.6912	0.7000
12	0.7417	0.6576	0.6971
13	0.7190	0.6933	0.7059
14	0.7626	0.6345	0.6927
15	0.7143	0.6618	0.6870
16	0.7470	0.6450	0.6922
17	0.7477	0.6786	0.7115
18	0.7206	0.6828	0.7012
19	0.7700	0.6471	0.7032
20	0.7189	0.6555	0.6857
21	0.7205	0.6660	0.6921
22	0.7172	0.6660	0.6906
23	0.7015	0.6765	0.6888
24	0.7447	0.6681	0.7043
25	0.7476	0.6471	0.6937
26	0.7531	0.6408	0.6924
27	0.7188	0.6660	0.6914
28	0.7188	0.6660	0.6914
29	0.7300	0.6534	0.6896
30	0.7300	0.6534	0.6896
