	precision	recall	f1	accuracy	support
POSITIVE	0.877	0.6485	0.7456	0.5944	180.0
NEUTRAL	0.2632	0.4545	0.3333	0.2	25.0
NEGATIVE	0.8	0.5867	0.6769	0.5116	86.0
Micro-AVG	0.7959	0.6215	0.698	0.5361	291.0
Macro-AVG	0.6467	0.5632	0.5853		291
