	precision	recall	f1	accuracy	support
POSITIVE	0.7594	0.8016	0.7799	0.6392	158.0
NEUTRAL	0.3	0.2727	0.2857	0.1667	18.0
NEGATIVE	0.6489	0.6489	0.6489	0.4803	127.0
Micro-AVG	0.6962	0.7143	0.7051	0.5446	303.0
Macro-AVG	0.5694	0.5744	0.5715		303
