epoch	precision	recall	f1
1	0.5782	0.1771	0.2711
2	0.7717	0.4437	0.5635
3	0.6631	0.6521	0.6576
4	0.6850	0.6479	0.6660
5	0.7554	0.6500	0.6988
6	0.7392	0.6792	0.7079
7	0.7367	0.6354	0.6823
8	0.7024	0.6687	0.6852
9	0.7439	0.6354	0.6854
10	0.7658	0.6813	0.7211
11	0.7438	0.6896	0.7157
12	0.7143	0.6771	0.6952
13	0.7323	0.7125	0.7223
14	0.7404	0.6833	0.7107
15	0.7468	0.7312	0.7389
16	0.7370	0.7354	0.7362
17	0.7422	0.6896	0.7149
18	0.7494	0.6854	0.7160
19	0.7399	0.6875	0.7127
20	0.7582	0.6729	0.7130
21	0.7477	0.6792	0.7118
22	0.7511	0.6917	0.7202
23	0.7517	0.6875	0.7182
24	0.7465	0.6750	0.7090
25	0.7500	0.6813	0.7140
26	0.7541	0.6771	0.7135
27	0.7466	0.6937	0.7192
28	0.7462	0.7104	0.7279
29	0.7467	0.7000	0.7226
30	0.7478	0.7042	0.7253
