	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3246	0.8605	0.4713	0.3083	120.0
DRINKS#PRICES	0.2143	1.0	0.3529	0.2143	14.0
DRINKS#QUALITY	0.3125	0.625	0.4167	0.2632	19.0
DRINKS#STYLE_OPTIONS	0.3333	0.5	0.4	0.25	12.0
FOOD#PRICES	0.3714	0.8125	0.5098	0.3421	38.0
FOOD#QUALITY	0.6569	0.8933	0.7571	0.6091	220.0
FOOD#STYLE_OPTIONS	0.2206	0.6818	0.3333	0.2	75.0
LOCATION#GENERAL	0.1081	0.8	0.1905	0.1053	38.0
RESTAURANT#GENERAL	0.2679	0.8571	0.4082	0.2564	234.0
RESTAURANT#MISCELLANEOUS	0.0588	0.1176	0.0784	0.0408	49.0
RESTAURANT#PRICES	0.3333	0.5714	0.4211	0.2667	30.0
SERVICE#GENERAL	0.4198	0.9067	0.5738	0.4024	169.0
Micro-AVG	0.3741	0.8205	0.5139	0.3458	1018.0
Macro-AVG	0.9054	2.1565	1.2283		1018
