	precision	recall	f1	accuracy	support
POSITIVE	0.749	0.6431	0.692	0.5291	344.0
NEUTRAL	0.4615	0.3529	0.4	0.25	24.0
NEGATIVE	0.7614	0.5194	0.6175	0.4467	150.0
Micro-AVG	0.8314	0.6667	0.74	0.5873	487.0
Macro-AVG	0.6573	0.5051	0.5698		487
