epoch	precision	recall	f1
1	0.2000	0.0199	0.0363
2	0.5789	0.1462	0.2334
3	0.5969	0.3787	0.4634
4	0.6744	0.5781	0.6225
5	0.6269	0.5415	0.5811
6	0.6304	0.6346	0.6325
7	0.6382	0.6213	0.6296
8	0.6419	0.6312	0.6365
9	0.6941	0.5880	0.6367
10	0.6799	0.6279	0.6528
11	0.6892	0.6777	0.6834
12	0.7003	0.6678	0.6837
13	0.6520	0.6910	0.6710
14	0.6476	0.6777	0.6623
15	0.6773	0.6346	0.6552
16	0.7211	0.6013	0.6558
17	0.7112	0.6545	0.6817
18	0.6667	0.6312	0.6485
19	0.6929	0.6445	0.6678
20	0.7196	0.6478	0.6818
21	0.7175	0.6412	0.6772
22	0.7148	0.6246	0.6667
23	0.6855	0.6445	0.6644
24	0.6953	0.6445	0.6690
25	0.6996	0.6346	0.6655
26	0.7080	0.6445	0.6748
27	0.7237	0.6179	0.6667
28	0.7121	0.6246	0.6655
