epoch	precision	recall	f1
1	0.3122	0.1730	0.2226
2	0.6457	0.4432	0.5256
3	0.6404	0.5054	0.5650
4	0.6897	0.5946	0.6386
5	0.6477	0.6459	0.6468
6	0.6746	0.6892	0.6818
7	0.6798	0.7000	0.6897
8	0.7077	0.6216	0.6619
9	0.6482	0.6973	0.6719
10	0.7170	0.6162	0.6628
11	0.6884	0.6270	0.6563
12	0.6621	0.6514	0.6567
13	0.7241	0.5676	0.6364
14	0.7006	0.5946	0.6433
15	0.6898	0.6730	0.6813
16	0.7411	0.6189	0.6745
17	0.6761	0.6432	0.6593
18	0.7074	0.5946	0.6461
19	0.6886	0.6514	0.6694
20	0.6991	0.6595	0.6787
21	0.7076	0.6541	0.6798
22	0.7024	0.6378	0.6686
23	0.7117	0.6405	0.6743
24	0.7043	0.6568	0.6797
25	0.7139	0.6541	0.6827
