	precision	recall	f1	accuracy	support
POSITIVE	0.8452	0.7634	0.8023	0.6698	106.0
NEUTRAL	0.8	0.4444	0.5714	0.4	10.0
NEGATIVE	0.7027	0.6341	0.6667	0.5	52.0
Micro-AVG	0.8016	0.7063	0.7509	0.6012	168.0
Macro-AVG	0.7826	0.614	0.6801		168
