	precision	recall	f1	accuracy	support
POSITIVE	0.7419	0.7419	0.7419	0.5897	78.0
NEUTRAL	1.0	0.4	0.5714	0.4	5.0
NEGATIVE	0.7447	0.7	0.7216	0.5645	62.0
Micro-AVG	0.7477	0.7094	0.7281	0.5724	145.0
Macro-AVG	0.8289	0.614	0.6783		145
