	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8205	0.7805	0.8	0.6667	48.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	1.0	1.0	1.0	1.0	7.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.9333	0.8235	0.875	0.7778	18.0
FOOD#QUALITY	0.8492	0.8168	0.8327	0.7133	150.0
FOOD#STYLE_OPTIONS	0.7222	0.619	0.6666	0.5	26.0
LOCATION#GENERAL	0.5	0.5	0.5	0.3333	6.0
RESTAURANT#GENERAL	0.7838	0.8286	0.8056	0.6744	86.0
RESTAURANT#MISCELLANEOUS	0.4375	0.4667	0.4516	0.2917	24.0
RESTAURANT#PRICES	0.8	0.6667	0.7273	0.5714	14.0
SERVICE#GENERAL	0.8421	0.8767	0.8591	0.7529	85.0
Micro-AVG	0.8133	0.799	0.8061	0.6752	471.0
Macro-AVG	0.8074	0.7538	0.7765		471
