	precision	recall	f1	accuracy	support
POSITIVE	0.6637	0.8631	0.7504	0.6005	378.0
NEUTRAL	0.8571	0.6316	0.7273	0.5714	21.0
NEGATIVE	0.7112	0.7933	0.75	0.6	275.0
Micro-AVG	0.6871	0.8245	0.7496	0.5994	674.0
Macro-AVG	0.744	0.7627	0.7426		674
