epoch	precision	recall	f1
1	0.2450	0.1926	0.2157
2	0.6777	0.3773	0.4847
3	0.7032	0.5251	0.6012
4	0.7349	0.5778	0.6470
5	0.6712	0.6464	0.6586
6	0.7581	0.6781	0.7159
7	0.7399	0.6306	0.6809
8	0.7404	0.6095	0.6686
9	0.6801	0.7124	0.6959
10	0.7674	0.6702	0.7155
11	0.7370	0.6728	0.7034
12	0.7433	0.6570	0.6975
13	0.7229	0.6675	0.6941
14	0.7309	0.6807	0.7049
15	0.7618	0.6412	0.6963
16	0.7981	0.6675	0.7270
17	0.7713	0.6675	0.7157
18	0.7630	0.6966	0.7283
19	0.7573	0.6834	0.7184
20	0.7665	0.6755	0.7181
21	0.7944	0.6728	0.7286
22	0.7701	0.7071	0.7373
23	0.7667	0.6675	0.7137
24	0.7697	0.6702	0.7165
25	0.7681	0.6728	0.7173
