epoch	precision	recall	f1
1	0.1716	0.0455	0.0720
2	0.1508	0.0376	0.0602
3	0.6667	0.4832	0.5603
4	0.6340	0.5762	0.6037
5	0.6580	0.5485	0.5983
6	0.6440	0.5446	0.5901
7	0.6411	0.5129	0.5699
8	0.6702	0.5069	0.5772
9	0.6281	0.5485	0.5856
10	0.6097	0.6000	0.6048
11	0.6869	0.5386	0.6038
12	0.6509	0.5465	0.5942
13	0.6502	0.5485	0.5951
14	0.6748	0.5465	0.6039
15	0.6817	0.5386	0.6018
16	0.6683	0.5465	0.6013
17	0.6689	0.6000	0.6326
18	0.6821	0.5267	0.5944
19	0.6863	0.5545	0.6134
20	0.6682	0.5584	0.6084
21	0.6861	0.5584	0.6157
22	0.6683	0.5307	0.5916
23	0.6675	0.5406	0.5974
24	0.6716	0.5386	0.5978
