	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.75	0.8571	0.8	0.6667	9.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.3333	0.85	0.4788	0.3148	54.0
FOOD:NEGATIVE	0.8929	0.7576	0.8197	0.6944	36.0
FOOD:NEUTRAL	0.1364	0.6667	0.2265	0.1277	47.0
FOOD:POSITIVE	0.9184	0.9184	0.9184	0.8491	53.0
PRICE:NEGATIVE	0.8889	0.8	0.8421	0.7273	11.0
PRICE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
PRICE:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
GENERAL-IMPRESSION:NEGATIVE	0.7895	0.8333	0.8108	0.6818	22.0
GENERAL-IMPRESSION:NEUTRAL	1.0	1.0	1.0	1.0	1.0
GENERAL-IMPRESSION:POSITIVE	0.9444	0.7727	0.85	0.7391	23.0
SERVICE:NEGATIVE	0.9545	0.8077	0.875	0.7778	27.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	1.0	0.8788	0.9355	0.8788	33.0
Micro-AVG	0.682	0.8355	0.751	0.6012	321.0
Macro-AVG	0.685	0.7428	0.6905		321
