	precision	recall	f1	accuracy	support
AMBIENCE	0.5735	0.6393	0.6047	0.4333	90.0
FOOD	0.5841	0.6684	0.6234	0.4529	276.0
GENERAL-IMPRESSION	0.3795	0.7	0.4922	0.3264	193.0
PRICE	0.4348	0.3571	0.3922	0.2439	41.0
SERVICE	0.6351	0.7581	0.6912	0.5281	178.0
Micro-AVG	0.5347	0.6755	0.5969	0.4254	778.0
Macro-AVG	0.5214	0.6246	0.5607		778
