	precision	recall	f1	accuracy	support
POSITIVE	0.5263	0.4839	0.5042	0.3371	89.0
NEUTRAL	0.375	0.6	0.4615	0.3	10.0
NEGATIVE	0.6444	0.58	0.6105	0.4394	66.0
Micro-AVG	0.7545	0.7094	0.7313	0.5764	144.0
Macro-AVG	0.5152	0.5546	0.5254		144
