	precision	recall	f1	accuracy	support
POSITIVE	0.0316	0.0366	0.0339	0.0172	174.0
NEUTRAL	0.0	0.0	0.0	0.0	15.0
NEGATIVE	0.0	0.0	0.0	0.0	75.0
Micro-AVG	0.0219	0.0231	0.0225	0.0114	264.0
Macro-AVG	0.0105	0.0122	0.0113		264
