	precision	recall	f1	accuracy	support
AMBIENCE	0.5222	0.7966	0.6309	0.4608	102.0
FOOD	0.7787	0.8796	0.8261	0.7037	270.0
GENERAL-IMPRESSION	0.908	0.8778	0.8926	0.8061	98.0
PRICE	0.96	0.8276	0.8889	0.8	30.0
SERVICE	0.9344	0.8636	0.8976	0.8143	140.0
Micro-AVG	0.7993	0.8631	0.83	0.7094	640.0
Macro-AVG	0.8207	0.849	0.8272		640
