	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8049	0.7674	0.7857	0.6471	51.0
DRINKS#PRICES	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#QUALITY	0.7778	0.875	0.8235	0.7	10.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.9231	0.75	0.8276	0.7059	17.0
FOOD#QUALITY	0.8978	0.82	0.8571	0.75	164.0
FOOD#STYLE_OPTIONS	0.8	0.5455	0.6486	0.48	25.0
LOCATION#GENERAL	1.0	0.6	0.75	0.6	5.0
RESTAURANT#GENERAL	0.8551	0.8429	0.8489	0.7375	80.0
RESTAURANT#MISCELLANEOUS	0.3333	0.2941	0.3125	0.1852	27.0
RESTAURANT#PRICES	0.9167	0.7857	0.8462	0.7333	15.0
SERVICE#GENERAL	0.9	0.84	0.869	0.7683	82.0
Micro-AVG	0.8542	0.7786	0.8146	0.6872	486.0
Macro-AVG	0.823	0.7045	0.753		486
