	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.8	0.5	0.6154	0.4444	18.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.7917	0.5429	0.6441	0.475	40.0
FOOD:NEGATIVE	0.88	0.7857	0.8302	0.7097	62.0
FOOD:NEUTRAL	1.0	0.0769	0.1429	0.0769	13.0
FOOD:POSITIVE	0.8837	0.8736	0.8786	0.7835	97.0
PRICE:NEGATIVE	0.9286	0.6842	0.7879	0.65	20.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.0	0.0	0.0	0.0	6.0
GENERAL-IMPRESSION:NEGATIVE	0.931	0.6923	0.7941	0.6585	41.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	2.0
GENERAL-IMPRESSION:POSITIVE	0.907	0.7959	0.8478	0.7358	53.0
SERVICE:NEGATIVE	0.9038	0.8545	0.8785	0.7833	60.0
SERVICE:NEUTRAL	0	0	0	0	0
SERVICE:POSITIVE	0.9444	0.8095	0.8718	0.7727	66.0
Micro-AVG	0.8953	0.7353	0.8075	0.6771	480.0
Macro-AVG	0.598	0.441	0.4861		480
