	precision	recall	f1	accuracy	support
POSITIVE	0.8288	0.7196	0.7703	0.6265	340.0
NEUTRAL	0.8	0.7273	0.7619	0.6154	26.0
NEGATIVE	0.7742	0.6923	0.731	0.576	250.0
Micro-AVG	0.9114	0.8023	0.8534	0.7443	567.0
Macro-AVG	0.801	0.7131	0.7544		567
