	precision	recall	f1	accuracy	support
AMBIENCE	0.2841	0.431	0.3425	0.2066	121.0
FOOD	0.456	0.5561	0.5011	0.3343	341.0
GENERAL-IMPRESSION	0.4603	0.6444	0.537	0.3671	158.0
PRICE	0.375	0.2571	0.3051	0.18	50.0
SERVICE	0.609	0.6183	0.6136	0.4426	183.0
Micro-AVG	0.4622	0.553	0.5035	0.3365	853.0
Macro-AVG	0.4369	0.5014	0.4599		853
