epoch	precision	recall	f1
1	0.7941	0.0954	0.1703
2	0.8857	0.1095	0.1950
3	0.6364	0.6184	0.6272
4	0.6614	0.7456	0.7010
5	0.7277	0.6042	0.6602
6	0.7961	0.5795	0.6708
7	0.7564	0.6254	0.6847
8	0.7257	0.6078	0.6615
9	0.7530	0.6678	0.7079
10	0.7103	0.7279	0.7190
11	0.7540	0.6714	0.7103
12	0.6949	0.8127	0.7492
13	0.7528	0.7208	0.7365
14	0.7582	0.7314	0.7446
15	0.7417	0.7102	0.7256
16	0.7638	0.6855	0.7225
17	0.7661	0.6714	0.7156
18	0.7799	0.7138	0.7454
19	0.7575	0.7173	0.7368
20	0.7791	0.7102	0.7431
21	0.7660	0.7173	0.7409
22	0.7574	0.7279	0.7423
