	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.7857	0.6667	0.7213	0.5641	39.0
AMBIENCE#GENERAL:NEUTRAL	0.25	1.0	0.4	0.25	8.0
AMBIENCE#GENERAL:NEGATIVE	0.6667	0.3333	0.4444	0.2857	7.0
DRINKS#PRICES:POSITIVE	1.0	1.0	1.0	1.0	2.0
DRINKS#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
DRINKS#PRICES:NEGATIVE	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY:POSITIVE	0.8571	1.0	0.9231	0.8571	7.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.5	1.0	0.6667	0.5	2.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.25	0.4	0.25	4.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	0	0	0	0	0
FOOD#PRICES:POSITIVE	1.0	0.2222	0.3636	0.2222	9.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#PRICES:NEGATIVE	0.6667	0.75	0.7059	0.5455	11.0
FOOD#QUALITY:POSITIVE	0.9028	0.6771	0.7738	0.6311	103.0
FOOD#QUALITY:NEUTRAL	0.3333	0.25	0.2857	0.1667	6.0
FOOD#QUALITY:NEGATIVE	0.7778	0.6562	0.7119	0.5526	38.0
FOOD#STYLE_OPTIONS:POSITIVE	0.4118	0.5385	0.4667	0.3043	23.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.1429	1.0	0.25	0.1429	7.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.0	0.0	0.0	0.0	10.0
LOCATION#GENERAL:POSITIVE	0.0	0.0	0.0	0.0	6.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	2.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.7442	0.6154	0.6737	0.5079	63.0
RESTAURANT#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	14.0
RESTAURANT#GENERAL:NEGATIVE	0.7222	0.7647	0.7429	0.5909	22.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.0	0.0	0.0	0.0	9.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	4.0
RESTAURANT#PRICES:POSITIVE	0.4	0.4	0.4	0.25	8.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#PRICES:NEGATIVE	1.0	0.1667	0.2857	0.1667	6.0
SERVICE#GENERAL:POSITIVE	0.9643	0.75	0.8437	0.7297	37.0
SERVICE#GENERAL:NEUTRAL	0.1667	0.5	0.25	0.1429	7.0
SERVICE#GENERAL:NEGATIVE	1.0	0.6286	0.7719	0.6286	35.0
Micro-AVG	0.7054	0.594	0.6449	0.4759	498.0
Macro-AVG	0.397	0.3658	0.3356		498
