epoch	precision	recall	f1
1	0.4176	0.1631	0.2346
2	0.5900	0.2532	0.3544
3	0.6335	0.5193	0.5708
4	0.6947	0.3906	0.5000
5	0.6705	0.5064	0.5770
6	0.6984	0.5665	0.6256
7	0.7423	0.6180	0.6745
8	0.7157	0.6266	0.6682
9	0.7705	0.6052	0.6779
10	0.7458	0.5665	0.6439
11	0.7500	0.5923	0.6619
12	0.6652	0.6309	0.6476
13	0.7231	0.6052	0.6589
14	0.7541	0.5923	0.6635
15	0.7068	0.5794	0.6368
16	0.7485	0.5365	0.6250
17	0.7347	0.6180	0.6713
18	0.7310	0.6180	0.6698
19	0.6804	0.6395	0.6593
20	0.7208	0.6094	0.6605
21	0.6864	0.6481	0.6667
22	0.6968	0.6609	0.6784
23	0.7188	0.5923	0.6494
24	0.7188	0.5923	0.6494
25	0.7041	0.5923	0.6434
26	0.7458	0.5665	0.6439
27	0.7211	0.5880	0.6478
28	0.7292	0.6009	0.6588
29	0.7122	0.6266	0.6667
30	0.7236	0.6180	0.6667
