	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7683	0.9545	0.8513	0.7412	85.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	4.0
DRINKS#QUALITY	0.8824	0.6818	0.7692	0.625	24.0
DRINKS#STYLE_OPTIONS	0.9167	0.9167	0.9167	0.8462	13.0
FOOD#PRICES	0.7241	0.913	0.8077	0.6774	31.0
FOOD#QUALITY	0.8834	0.7987	0.8389	0.7225	346.0
FOOD#STYLE_OPTIONS	0.8235	0.7636	0.7924	0.6562	64.0
LOCATION#GENERAL	0.8125	1.0	0.8966	0.8125	16.0
RESTAURANT#GENERAL	0.9135	0.669	0.7724	0.6291	151.0
RESTAURANT#MISCELLANEOUS	0.4667	0.2121	0.2917	0.1707	41.0
RESTAURANT#PRICES	0.8667	0.619	0.7222	0.5652	23.0
SERVICE#GENERAL	0.8276	0.929	0.8754	0.7784	185.0
Micro-AVG	0.845	0.787	0.815	0.6877	983.0
Macro-AVG	0.8238	0.7465	0.7668		983
