	precision	recall	f1	accuracy	support
POSITIVE	0.8447	0.815	0.8296	0.7088	261.0
NEUTRAL	0.3929	0.7333	0.5116	0.3438	32.0
NEGATIVE	0.6879	0.7941	0.7372	0.5838	185.0
Micro-AVG	0.7525	0.8042	0.7775	0.636	478.0
Macro-AVG	0.6418	0.7808	0.6928		478
