epoch	precision	recall	f1
1	0.1023	0.0255	0.0408
2	0.5826	0.5694	0.5759
3	0.6920	0.4901	0.5738
4	0.6975	0.6204	0.6567
5	0.7291	0.6176	0.6687
6	0.7102	0.6317	0.6687
7	0.6775	0.7082	0.6925
8	0.7027	0.6629	0.6822
9	0.7024	0.6686	0.6851
10	0.7382	0.6629	0.6985
11	0.7492	0.6771	0.7113
12	0.6878	0.7054	0.6965
13	0.7092	0.6771	0.6928
14	0.7548	0.6629	0.7059
15	0.7196	0.6034	0.6564
16	0.7508	0.6657	0.7057
17	0.7721	0.6431	0.7017
18	0.7566	0.6516	0.7002
19	0.7492	0.6856	0.7160
20	0.7551	0.6289	0.6862
21	0.7625	0.6459	0.6994
22	0.7234	0.6742	0.6979
23	0.7296	0.6572	0.6915
24	0.7556	0.6742	0.7126
25	0.7540	0.6686	0.7087
