epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.0000	0.0000	0.0000
3	0.6130	0.4747	0.5351
4	0.6059	0.3468	0.4411
5	0.6134	0.5556	0.5830
6	0.5452	0.5488	0.5470
7	0.5959	0.4916	0.5387
8	0.5349	0.6195	0.5741
9	0.6628	0.5758	0.6162
10	0.6214	0.5084	0.5593
11	0.6452	0.5387	0.5872
12	0.7289	0.5522	0.6284
13	0.6411	0.6195	0.6301
14	0.6870	0.5320	0.5996
15	0.6061	0.6734	0.6380
16	0.6374	0.5859	0.6105
17	0.6477	0.5758	0.6096
18	0.6838	0.5825	0.6291
19	0.6867	0.5387	0.6038
20	0.6445	0.5556	0.5967
21	0.6614	0.5657	0.6098
22	0.6562	0.5657	0.6076
23	0.6603	0.5825	0.6190
24	0.6891	0.5522	0.6131
25	0.6523	0.5623	0.6040
26	0.6979	0.5522	0.6165
27	0.6923	0.5455	0.6102
28	0.6933	0.5556	0.6168
