	precision	recall	f1	accuracy	support
POSITIVE	0.7308	0.7799	0.7545	0.6058	345.0
NEUTRAL	0.2692	0.5	0.35	0.2121	33.0
NEGATIVE	0.6544	0.7607	0.7036	0.5427	164.0
Micro-AVG	0.6808	0.7644	0.7202	0.5627	542.0
Macro-AVG	0.5515	0.6802	0.6027		542
