	precision	recall	f1	accuracy	support
AMBIENCE	0.8846	0.7797	0.8288	0.7077	65.0
FOOD	0.9071	0.7685	0.8321	0.7124	233.0
GENERAL-IMPRESSION	0.8977	0.8778	0.8876	0.798	99.0
PRICE	1.0	0.8621	0.9259	0.8621	29.0
SERVICE	0.9224	0.8106	0.8629	0.7589	141.0
Micro-AVG	0.9116	0.8042	0.8545	0.746	567.0
Macro-AVG	0.9224	0.8197	0.8675		567
