epoch	precision	recall	f1
1	0.4034	0.2541	0.3118
2	0.5577	0.5486	0.5531
3	0.6794	0.4811	0.5633
4	0.7143	0.6351	0.6724
5	0.7070	0.6784	0.6924
6	0.6933	0.6108	0.6494
7	0.6863	0.6622	0.6740
8	0.7227	0.6622	0.6911
9	0.6768	0.7189	0.6972
10	0.6950	0.6405	0.6667
11	0.7276	0.6135	0.6657
12	0.7256	0.6216	0.6696
13	0.7273	0.6054	0.6608
14	0.7006	0.6703	0.6851
15	0.7110	0.6649	0.6872
16	0.7151	0.6514	0.6818
17	0.7159	0.6676	0.6909
18	0.7126	0.6703	0.6908
19	0.7476	0.6405	0.6900
20	0.7429	0.6405	0.6880
21	0.7189	0.6568	0.6864
22	0.7164	0.6486	0.6809
23	0.7114	0.6595	0.6844
24	0.7098	0.6676	0.6880
25	0.7135	0.6730	0.6926
