epoch	precision	recall	f1
1	0.3935	0.2408	0.2988
2	0.6403	0.5496	0.5915
3	0.7541	0.5212	0.6164
4	0.6783	0.6629	0.6705
5	0.7712	0.6686	0.7162
6	0.8075	0.6062	0.6926
7	0.7700	0.6827	0.7237
8	0.7135	0.7054	0.7094
9	0.7712	0.6969	0.7321
10	0.7243	0.7592	0.7414
11	0.7540	0.6686	0.7087
12	0.7810	0.6969	0.7365
13	0.7388	0.7450	0.7419
14	0.7333	0.7479	0.7405
15	0.7746	0.6912	0.7305
16	0.7751	0.7224	0.7478
17	0.7726	0.7025	0.7359
18	0.7645	0.7082	0.7353
19	0.7477	0.7054	0.7259
20	0.7613	0.7139	0.7368
21	0.7478	0.7224	0.7349
22	0.7629	0.7110	0.7361
23	0.7841	0.6997	0.7395
24	0.7642	0.7252	0.7442
25	0.7674	0.7195	0.7427
