epoch	precision	recall	f1
1	0.4667	0.1241	0.1960
2	0.5463	0.5823	0.5637
3	0.6771	0.4937	0.5710
4	0.6392	0.5114	0.5682
5	0.7061	0.5595	0.6243
6	0.7291	0.6405	0.6819
7	0.6564	0.5949	0.6242
8	0.7147	0.6658	0.6894
9	0.7225	0.6329	0.6748
10	0.7270	0.6203	0.6694
11	0.7086	0.5848	0.6408
12	0.7034	0.6304	0.6649
13	0.7411	0.6304	0.6813
14	0.7176	0.6304	0.6712
15	0.7247	0.7063	0.7154
16	0.7418	0.6835	0.7115
17	0.7095	0.6987	0.7041
18	0.7373	0.6253	0.6767
19	0.7507	0.6557	0.7000
20	0.7143	0.6329	0.6711
21	0.7174	0.6684	0.6920
22	0.7209	0.6734	0.6963
23	0.7280	0.6709	0.6983
24	0.7344	0.6861	0.7094
25	0.7366	0.6937	0.7145
26	0.7445	0.6861	0.7141
27	0.7425	0.6861	0.7132
