epoch	precision	recall	f1
1	0.1008	0.0271	0.0427
2	0.3871	0.2000	0.2637
3	0.5223	0.3417	0.4131
4	0.6771	0.4938	0.5711
5	0.7060	0.5354	0.6090
6	0.6800	0.4958	0.5735
7	0.6485	0.5458	0.5928
8	0.6265	0.5521	0.5869
9	0.6861	0.5646	0.6194
10	0.6366	0.5437	0.5865
11	0.6733	0.5667	0.6154
12	0.6460	0.5437	0.5905
13	0.6873	0.5542	0.6136
14	0.6609	0.5604	0.6065
15	0.6461	0.5667	0.6038
16	0.6690	0.5896	0.6268
17	0.6740	0.5729	0.6194
18	0.6766	0.5188	0.5873
19	0.6699	0.5708	0.6164
20	0.6816	0.5396	0.6023
21	0.6633	0.5458	0.5989
22	0.6734	0.5583	0.6105
23	0.6733	0.5625	0.6129
24	0.6751	0.5542	0.6087
