	precision	recall	f1	accuracy	support
POSITIVE	0.7926	0.8492	0.8199	0.6948	154.0
NEUTRAL	0.6923	0.8182	0.75	0.6	15.0
NEGATIVE	0.6979	0.7128	0.7053	0.5447	123.0
Micro-AVG	0.8648	0.9134	0.8884	0.7992	264.0
Macro-AVG	0.7276	0.7934	0.7584		264
