epoch	precision	recall	f1
1	0.3166	0.2136	0.2551
2	0.5837	0.4373	0.5000
3	0.6950	0.6102	0.6498
4	0.6396	0.6678	0.6534
5	0.6679	0.6136	0.6396
6	0.6992	0.6068	0.6497
7	0.6884	0.6441	0.6655
8	0.7117	0.6610	0.6854
9	0.7292	0.6847	0.7063
10	0.7082	0.6746	0.6910
11	0.6690	0.6576	0.6632
12	0.6890	0.6983	0.6936
13	0.7283	0.6542	0.6893
14	0.7331	0.6610	0.6952
15	0.7228	0.6983	0.7103
16	0.6895	0.7153	0.7022
17	0.6933	0.7051	0.6992
18	0.6837	0.6814	0.6825
19	0.7539	0.6542	0.7005
20	0.7183	0.6915	0.7047
21	0.6959	0.6983	0.6971
22	0.7595	0.6746	0.7145
23	0.7289	0.6746	0.7007
24	0.7547	0.6780	0.7143
25	0.7423	0.6542	0.6955
26	0.7454	0.6847	0.7138
27	0.7500	0.6814	0.7140
28	0.7557	0.6712	0.7110
29	0.7538	0.6644	0.7063
30	0.7361	0.6712	0.7021
