	precision	recall	f1	accuracy	support
POSITIVE	0.2	0.6269	0.3032	0.1787	940.0
NEUTRAL	0.0	0.0	0.0	0.0	45.0
NEGATIVE	0.193	0.5214	0.2818	0.164	372.0
Micro-AVG	0.1929	0.5739	0.2888	0.1688	1357.0
Macro-AVG	0.131	0.3828	0.195		1357
