epoch	precision	recall	f1
1	0.3986	0.1504	0.2184
2	0.6326	0.4406	0.5194
3	0.6973	0.4802	0.5687
4	0.6961	0.6649	0.6802
5	0.7286	0.6517	0.6880
6	0.6895	0.7441	0.7157
7	0.7732	0.5937	0.6716
8	0.7627	0.7124	0.7367
9	0.7644	0.7361	0.7500
10	0.7584	0.7124	0.7347
11	0.7695	0.7045	0.7355
12	0.7683	0.6913	0.7278
13	0.7586	0.6385	0.6934
14	0.7500	0.7124	0.7307
15	0.7112	0.7018	0.7065
16	0.7463	0.6675	0.7047
17	0.7092	0.7335	0.7211
18	0.8055	0.6992	0.7486
19	0.8275	0.6201	0.7089
20	0.7941	0.7124	0.7510
21	0.7761	0.6860	0.7283
22	0.7670	0.6860	0.7242
23	0.7866	0.6807	0.7298
24	0.7768	0.6702	0.7195
25	0.7734	0.6755	0.7211
