epoch	precision	recall	f1
1	0.1733	0.0962	0.1237
2	0.6965	0.3846	0.4956
3	0.6875	0.6044	0.6433
4	0.7508	0.6291	0.6846
5	0.7260	0.7060	0.7159
6	0.7441	0.6951	0.7188
7	0.7683	0.7198	0.7433
8	0.8526	0.6676	0.7488
9	0.7699	0.7170	0.7425
10	0.7803	0.7418	0.7606
11	0.8101	0.7033	0.7529
12	0.7514	0.7637	0.7575
13	0.8019	0.7005	0.7478
14	0.8232	0.7033	0.7585
15	0.8025	0.7143	0.7558
16	0.8168	0.7473	0.7805
17	0.8182	0.6923	0.7500
18	0.8006	0.6951	0.7441
19	0.7884	0.7473	0.7673
20	0.7809	0.7637	0.7722
21	0.7919	0.7527	0.7718
22	0.8006	0.7390	0.7686
23	0.8190	0.7335	0.7739
24	0.8012	0.7308	0.7644
25	0.8012	0.7308	0.7644
