	precision	recall	f1	accuracy	support
POSITIVE	0.6875	0.7097	0.6984	0.5366	82.0
NEUTRAL	0.6667	0.8	0.7273	0.5714	7.0
NEGATIVE	0.6	0.54	0.5684	0.3971	68.0
Micro-AVG	0.6522	0.641	0.6466	0.4777	157.0
Macro-AVG	0.6514	0.6832	0.6647		157
