	precision	recall	f1	accuracy	support
POSITIVE	0.8136	0.8229	0.8182	0.6923	208.0
NEUTRAL	0.6	0.5455	0.5714	0.4	15.0
NEGATIVE	0.8261	0.8143	0.8201	0.6951	82.0
Micro-AVG	0.8086	0.8086	0.8086	0.6787	305.0
Macro-AVG	0.7466	0.7276	0.7366		305
