epoch	precision	recall	f1
1	0.3605	0.1235	0.1840
2	0.6183	0.5936	0.6057
3	0.7095	0.5936	0.6464
4	0.6479	0.7331	0.6879
5	0.7061	0.7371	0.7212
6	0.7255	0.7371	0.7312
7	0.7004	0.6892	0.6948
8	0.7824	0.6733	0.7238
9	0.7328	0.7211	0.7269
10	0.7580	0.6614	0.7064
11	0.7074	0.7610	0.7332
12	0.7500	0.6932	0.7205
13	0.7284	0.7052	0.7166
14	0.7500	0.7171	0.7332
15	0.7121	0.7291	0.7205
16	0.7397	0.7131	0.7262
17	0.7490	0.7490	0.7490
18	0.7629	0.7052	0.7329
19	0.7470	0.7410	0.7440
20	0.7679	0.7251	0.7459
21	0.7692	0.7171	0.7423
22	0.7609	0.6972	0.7277
23	0.7368	0.7251	0.7309
24	0.7362	0.7450	0.7406
25	0.7540	0.7450	0.7495
26	0.7585	0.7131	0.7351
27	0.7617	0.7131	0.7366
28	0.7615	0.7251	0.7429
29	0.7667	0.7331	0.7495
30	0.7593	0.7291	0.7439
