epoch	precision	recall	f1
1	0.2667	0.0833	0.1270
2	0.5901	0.4549	0.5137
3	0.6955	0.6424	0.6679
4	0.6844	0.5347	0.6004
5	0.7218	0.6667	0.6931
6	0.7148	0.6354	0.6728
7	0.7308	0.6597	0.6934
8	0.7059	0.6667	0.6857
9	0.7007	0.6667	0.6833
10	0.7169	0.6771	0.6964
11	0.7185	0.6736	0.6953
12	0.7071	0.7292	0.7179
13	0.7385	0.7257	0.7320
14	0.7266	0.7292	0.7279
15	0.7319	0.7014	0.7163
16	0.7390	0.6979	0.7179
17	0.7270	0.7118	0.7193
18	0.7350	0.7222	0.7285
19	0.7769	0.7014	0.7372
20	0.7885	0.7118	0.7482
21	0.7803	0.7153	0.7464
22	0.7667	0.7188	0.7419
