epoch	precision	recall	f1
1	0.3838	0.0982	0.1564
2	0.6356	0.5814	0.6073
3	0.7175	0.5840	0.6439
4	0.7464	0.5323	0.6214
5	0.7385	0.6641	0.6993
6	0.7099	0.6512	0.6792
7	0.7143	0.6460	0.6784
8	0.7278	0.6563	0.6902
9	0.6933	0.6951	0.6942
10	0.7532	0.5995	0.6676
11	0.7485	0.6537	0.6979
12	0.6724	0.7054	0.6885
13	0.7244	0.6589	0.6901
14	0.7628	0.6563	0.7056
15	0.7308	0.6873	0.7084
16	0.7573	0.6693	0.7106
17	0.7239	0.6977	0.7105
18	0.7857	0.6822	0.7303
19	0.7350	0.6667	0.6992
20	0.7541	0.7054	0.7290
21	0.7445	0.7003	0.7217
22	0.7209	0.6408	0.6785
23	0.7116	0.6951	0.7033
24	0.7360	0.6770	0.7052
25	0.7312	0.6537	0.6903
26	0.7244	0.6589	0.6901
27	0.7203	0.6589	0.6883
