epoch	precision	recall	f1
1	0.4340	0.2390	0.3082
2	0.6289	0.3169	0.4214
3	0.6873	0.6052	0.6436
4	0.6836	0.6623	0.6728
5	0.7386	0.5870	0.6541
6	0.6995	0.6831	0.6912
7	0.7309	0.6701	0.6992
8	0.7323	0.6182	0.6704
9	0.7479	0.6779	0.7112
10	0.7812	0.6494	0.7092
11	0.7315	0.6935	0.7120
12	0.7081	0.6805	0.6940
13	0.7335	0.6935	0.7130
14	0.6883	0.6883	0.6883
15	0.7356	0.6649	0.6985
16	0.7933	0.6779	0.7311
17	0.7683	0.6805	0.7218
18	0.7350	0.6701	0.7011
19	0.7328	0.6909	0.7112
20	0.7582	0.6597	0.7056
21	0.7726	0.6442	0.7025
22	0.7668	0.6831	0.7225
23	0.7630	0.6857	0.7223
24	0.7674	0.6857	0.7243
25	0.7600	0.6909	0.7238
26	0.7635	0.6961	0.7283
27	0.7630	0.6857	0.7223
